coc_number,category,homeless_count
MD-509,Suburban CoCs,316
MD-510,Rural CoCs,15
MD-511,Rural CoCs,141
MD-512,Suburban CoCs,199
MD-513,Rural CoCs,292
MD-600,Suburban CoCs,478
MD-601,Suburban CoCs,840
ME-500,Rural CoCs,2516
MI-500,Rural CoCs,1343
MI-501,Major Cities,1769
MI-502,Suburban CoCs,211
MI-503,Suburban CoCs,270
MI-504,Suburban CoCs,427
MI-505,Suburban CoCs,438
MI-506,Other Urban CoCs,723
MI-507,Other Urban CoCs,567
MI-508,Other Urban CoCs,419
MI-509,Suburban CoCs,282
MI-510,Suburban CoCs,357
MI-511,Rural CoCs,117
MI-512,Rural CoCs,235
MI-513,Rural CoCs,70
MI-514,Other Urban CoCs,236
MI-515,Suburban CoCs,209
MI-516,Suburban CoCs,159
MI-517,Rural CoCs,81
MI-518,Suburban CoCs,90
MI-519,Suburban CoCs,226
MI-523,Suburban CoCs,122
MN-500,Major Cities,3013
MN-501,Other Urban CoCs,1424
MN-502,Rural CoCs,497
MN-503,Suburban CoCs,625
MN-504,Rural CoCs,90
MN-505,Rural CoCs,584
MN-506,Rural CoCs,274
MN-508,Rural CoCs,246
MN-509,Rural CoCs,425
MN-511,Rural CoCs,65
MO-500,Suburban CoCs,450
MO-501,Other Urban CoCs,949
MO-503,Suburban CoCs,532
MO-600,Other Urban CoCs,479
MO-602,Rural CoCs,275
MO-603,Other Urban CoCs,204
MO-604,Major Cities,1798
MO-606,Rural CoCs,1345
MP-500,Rural CoCs,1044
MS-500,Suburban CoCs,446
MS-501,Rural CoCs,560
MS-503,Rural CoCs,346
MT-500,Rural CoCs,1405
NC-500,Other Urban CoCs,440
NC-501,Suburban CoCs,554
NC-502,Other Urban CoCs,338
NC-503,Rural CoCs,2991
NC-504,Other Urban CoCs,657
NC-505,Major Cities,1668
NC-506,Suburban CoCs,333
NC-507,Major Cities,983
NC-509,Suburban CoCs,331
NC-511,Other Urban CoCs,372
NC-513,Other Urban CoCs,152
NC-516,Rural CoCs,449
ND-500,Rural CoCs,542
NE-500,Rural CoCs,559
NE-501,Major Cities,1411
NE-502,Other Urban CoCs,451
NH-500,Rural CoCs,742
NH-501,Other Urban CoCs,427
NH-502,Suburban CoCs,281
NJ-500,Suburban CoCs,437
NJ-501,Suburban CoCs,354
NJ-502,Suburban CoCs,840
NJ-503,Suburban CoCs,999
NJ-504,Suburban CoCs,2228
NJ-506,Suburban CoCs,860
NJ-507,Suburban CoCs,597
NJ-508,Suburban CoCs,335
NJ-509,Suburban CoCs,398
NJ-510,Suburban CoCs,354
NJ-511,Suburban CoCs,434
NJ-512,Suburban CoCs,49
NJ-513,Suburban CoCs,218
NJ-514,Suburban CoCs,479
NJ-515,Suburban CoCs,478
NJ-516,Suburban CoCs,338
NM-500,Major Cities,1340
NM-501,Rural CoCs,1211
NV-500,Major Cities,6083
NV-501,Other Urban CoCs,1192
NV-502,Rural CoCs,269
NY-500,Suburban CoCs,835
NY-501,Rural CoCs,233
NY-503,Suburban CoCs,835
NY-504,Rural CoCs,33
NY-505,Suburban CoCs,722
NY-507,Suburban CoCs,393
NY-508,Suburban CoCs,957
