,coc_number,black,hispanic,share_rent,unemployment,share_pa,share_ssi,gini,rent,vacancy,single,veteran,poverty,older,pop_full,pop_pov,homeless,category,homeless_rate_full,homeless_rate_pov,state
352,VT-501,2.53190334,2.273961444,37.02599388,3.720162519,3.402140673,5.055045872,44.96,1230,2.116040956,28.51223242,6.017566669,5.721259202,28.14713796,162052,8720,359,Urban,22.15338286,411.6972477,VT
353,WA-500,6.29039501,9.559639282,42.86874924,4.502532941,2.40894225,3.70268443,46.61883608,1493.146777,2.99370684,29.2772243,6.093894262,4.554151643,26.35225239,2169266.308,97444.32078,12112,Urban,55.83454625,1242.96623,WA
354,WA-501,1.551883855,15.05356706,33.45945194,6.234360344,3.501544621,5.487020932,43.18064328,966.9072833,4.643992446,26.45386514,11.86230341,6.152544889,30.98401439,2264244.649,136017.136,5666,Rural,25.02379768,416.5651599,WA
355,WA-502,1.608636706,5.562239518,37.3572339,5.61693871,4.634009945,5.843648766,45.64,878,3.771677225,29.06156009,11.29052842,6.130798363,28.89359779,497875,29641,1245,Urban,25.00627668,420.0263149,WA
356,WA-504,2.875975693,10.02809489,33.20287019,4.565259742,3.146646787,4.3183991,40.46,1371,3.498132017,23.42434691,8.694649638,3.921464997,28.49482596,786620,30421,858,Suburban,10.90742671,282.0420105,WA
357,WA-508,1.671171069,9.305748132,33.48870858,5.440449834,3.920726077,4.51699482,42.68222642,1174.023561,2.986852862,23.37552332,9.468233689,4.286309531,28.73995852,473174.3511,20088.86403,795,Suburban,16.80141787,395.7416401,WA
358,WI-500,1.640349319,4.556710216,27.94464279,3.656258267,1.842798248,4.221873245,42.63486559,791.3163642,5.007642331,27.7329546,8.299300778,4.198557749,31.82788055,4098944,167523,3147,Rural,7.677587203,187.854802,WI
359,WI-501,26.44294908,14.73209748,50.51168634,6.184439219,2.527285576,7.288454995,47.9,864,5.401224809,35.50448871,5.806539985,8.525680011,25.34759157,954209,79485,871,Urban,9.1279793,109.580424,WI
360,WI-502,11.18332839,12.86707131,32.15594889,4.759221621,4.092480101,6.100754085,43.14,855,5.301140071,26.08530582,8.285603404,5.404694381,30.87595574,195398,10272,275,Suburban,14.07383904,267.7180685,WI
361,WI-503,5.158886689,6.282049588,42.00965875,3.136621789,1.605084514,3.21335824,44.57,1031,2.988217234,30.09977676,5.55340908,6.131722504,25.79330103,529843,31630,614,Urban,11.58833843,194.1195068,WI
362,WV-500,2.200930703,1.047392765,25.87565373,5.347240357,2.731902009,6.38074594,44.65221112,643.2415189,8.375875579,32.34585742,9.532319226,6.575643554,34.55904062,142258,9035,108,Rural,7.591840178,119.5351411,WV
363,WV-501,3.694146707,1.170364489,34.32262255,6.011562757,2.72430404,8.625760009,50.10701248,718.5476894,8.499129862,35.09841774,8.168104442,10.05883469,30.1589402,136026,13250,190,Rural,13.9679179,143.3962264,WV
364,WV-503,5.237549459,0.995751267,27.67396992,5.786603594,2.766251729,6.751768551,46.76234545,735.4602028,7.625032579,30.44462651,8.694928498,6.832277413,32.98207064,273964,18430,317,Suburban,11.57086333,172.0021704,WV
365,WV-508,3.463564551,1.700493262,26.26386399,7.200881726,2.40479896,8.108587301,44.89137878,704.8015767,7.5348539,28.58552826,9.447458522,7.688429299,32.32495775,1276806,95154,628,Rural,4.918523253,65.99827648,WV
