,coc_number,black,hispanic,share_rent,unemployment,share_pa,share_ssi,gini,rent,vacancy,single,veteran,poverty,older,pop_full,pop_pov,homeless,category,homeless_rate_full,homeless_rate_pov,state
62,DE-500,22.10564563,9.090621857,28.91758557,5.944556958,2.192500664,4.517490531,45.12900038,1099.487636,7.083011257,27.24889243,8.963605795,5.444646294,31.16519834,949495,50291,1082,Suburban,11.39553131,215.1478396,DE
63,FL-500,6.487938249,12.40500918,27.18667008,5.290450353,1.591286941,3.856534332,47.75324243,1153.911465,10.55158487,30.42815767,11.50930498,4.809029008,37.76681081,785997,37326,1192,Suburban,15.16545229,319.3484434,FL
64,FL-501,16.62214996,28.02833888,41.94544589,6.134759026,2.378804131,5.455605079,47.99,1094,6.304031042,28.6939618,8.706780969,6.712179374,26.83019517,1378883,91152,1795,Suburban,13.01778323,196.9238196,FL
65,FL-502,10.27607986,9.433276785,34.26493672,5.673901323,2.428872756,4.313989993,48.57,1064,7.628520806,36.36735995,10.76283514,6.324929978,36.08143025,957875,59684,2612,Suburban,27.26869372,437.638228,FL
66,FL-503,15.20777782,21.52897314,31.47323359,6.874564045,2.459569316,6.225892934,44.23,944,6.806680162,25.08907723,9.307565145,7.422931789,29.86550935,668671,48647,552,Suburban,8.255180799,113.4705121,FL
67,FL-504,10.76164235,12.82505715,28.97631834,5.5733655,2.034587996,5.15310669,45.53368744,1026.836524,6.239146302,30.21481464,11.7587959,6.762446885,36.03587424,634773,42174,683,Suburban,10.75975191,161.9481197,FL
68,FL-505,8.536544196,8.307357602,34.20619252,5.528616916,1.56113064,4.719025377,44.73453384,1063.697883,15.91766481,28.32956132,19.814666,4.879915576,30.17686003,266595,12624,495,Suburban,18.56749001,392.1102662,FL
69,FL-506,31.6756433,6.231084411,39.3421783,7.507667504,1.818529062,5.257440929,47.10886468,909.1700327,7.258042549,30.05914546,7.56691182,10.85485622,26.95757917,440774,44487,909,Urban,20.62281351,204.3293546,FL
70,FL-507,17.45936804,32.2417288,42.02144606,5.960254761,2.269972072,4.648070889,47.16666455,1172.65999,8.528016707,25.11036789,6.548453124,6.298971263,25.54259092,2114899,130708,2053,Suburban,9.707319357,157.0676623,FL
71,FL-508,17.65338229,8.978307557,37.59642351,6.781857675,2.011459532,4.965373389,49.02523216,868.317486,13.56765748,34.15602007,8.992861782,11.26172495,28.05581386,420469,44855,756,Rural,17.97992242,168.5430833,FL
72,FL-509,13.68121454,15.674682,24.25172973,6.355691279,1.993251901,4.659605364,48.78390523,1084.553812,13.74524687,29.72922183,10.93951918,5.18456976,35.44881105,614156,31451,1542,Suburban,25.10762738,490.2864774,FL
73,FL-510,24.75319652,9.032107965,39.10824223,6.611554016,2.58961366,5.09230414,46.23931171,1054.129729,6.610875677,28.23108059,12.75358611,6.789820108,28.49711822,1212098,80689,1794,Urban,14.80078344,222.3351386,FL
74,FL-511,16.32902042,5.4966761,33.99616848,6.198147639,1.827470361,3.989782603,43.23942033,1009.436863,13.0808223,28.1716967,15.78246338,5.726959007,29.60034359,481964,26171,632,Suburban,13.11301259,241.4886707,FL
75,FL-512,5.405875934,6.687388271,21.50391802,4.89041904,1.582278481,3.202809848,46.55,1261,7.276914784,22.29911439,11.24802855,3.962644912,33.56432827,235503,9229,342,Suburban,14.522108,370.5710261,FL
76,FL-513,10.07267583,10.00246182,27.11500821,6.227970242,1.84631785,4.860018874,45.5,1018,10.36131478,30.30084583,13.76570903,5.243615176,35.91732431,576808,29896,734,Suburban,12.72520492,245.517795,FL
77,FL-514,12.59748946,12.74244986,24.15869435,8.839573979,2.298665338,5.554009113,44.81,859,9.913724237,30.21961118,12.81696015,7.396153846,35.50840914,348371,24999,572,Suburban,16.41927715,228.8091524,FL
78,FL-515,14.11495863,5.494861663,32.16393501,6.969694679,2.25672841,6.604863654,44.72527548,892.5117548,20.62881114,29.22103317,13.56018644,6.817736404,30.83264309,305449,19481,381,Rural,12.47344074,195.5751758,FL
79,FL-517,9.978059202,29.79983833,27.70483338,8.442930836,2.394163471,6.005735444,46.72261153,749.2485392,8.56198822,27.42465362,10.07802372,9.758805329,31.21174795,259790,24349,453,Rural,17.43716078,186.0446014,FL
80,FL-518,17.91652578,7.848311551,27.19516378,9.349450305,2.568170125,9.048619448,47.06880463,755.3536775,8.331569665,27.98190705,12.20205165,8.247646458,31.40500728,136042,10259,493,Rural,36.2388086,480.5536602,FL
81,FL-519,5.57410697,14.54759466,27.99369563,6.478044587,2.773720429,6.576919795,45.17,1025,7.564363589,27.65890165,11.44784131,6.006774423,32.72704483,510593,30165,2668,Suburban,52.25296861,884.4687552,FL
82,FL-520,7.388281442,11.28717985,20.8660694,6.91930824,1.696825886,5.190748889,43.36814222,953.2789077,10.53373562,28.35776277,13.8347557,5.792858256,38.9310664,782144,44221,711,Suburban,9.090397676,160.7833382,FL
83,FL-600,17.74896557,67.96667742,48.38739338,6.274078864,2.358367498,7.342098337,52.49,1257,6.027504531,26.01663581,2.315799806,6.968847482,27.87797973,2715516,186495,3516,Urban,12.94781544,188.5305236,FL
84,FL-601,28.46663255,29.05003323,37.93821325,6.597021119,1.783347603,4.358528518,48.61,1332,7.363307196,29.05695453,5.12388007,6.0419908,29.40202216,1909151,114328,2318,Suburban,12.14152259,202.7499825,FL
85,FL-602,5.50142975,7.031770969,20.48982272,7.300248215,1.187130663,4.319107026,45.42,976,13.25218312,30.38345371,14.38494692,4.575800765,44.20301321,176954,7930,164,Suburban,9.267945342,206.8095839,FL
86,FL-603,8.603145493,20.74862352,29.39259401,5.926126285,1.577644458,3.833576718,48.05,1093,7.755398789,28.29019241,9.985435994,6.257399811,35.65402635,718679,44342,728,Suburban,10.12969629,164.1784313,FL
87,FL-604,7.073698002,23.85325909,40.40087793,2.875829566,2.514363179,3.34387709,50.6,1616,22.24696113,31.04060422,10.52913133,4.93835406,38.4238454,76321.04277,3696.808321,973,Rural,127.4877759,2632.000135,FL
88,FL-605,18.56414781,21.85030945,31.38854028,6.514655253,2.15936784,3.785186861,52.21,1320,8.309740487,31.03758373,7.154895078,5.542977069,31.16671288,1446277,79076,1309,Suburban,9.05082498,165.5369518,FL
89,FL-606,6.967427086,27.49517754,27.32542464,4.610417271,0.797491167,2.639383576,52.23,1228,9.700200789,26.80038597,9.255536559,4.826438025,35.19243135,363922,17394,653,Suburban,17.94340546,375.4168104,FL
90,GA-500,44.80546359,7.361865898,48.30952495,6.534194754,1.530128861,4.539535806,53.6821356,1147.693295,7.787517875,37.52561077,5.463750385,7.19201468,24.65392624,465348.8084,32436.38336,3076,Urban,66.10095362,948.3178091,GA
91,GA-501,26.20488298,9.719991575,32.56383522,6.185243697,1.75363102,5.795386318,44.46814554,916.4808585,6.997323808,24.00266323,8.585992742,7.170230029,27.70466333,6981438.4,488034.4197,3730,Rural,5.34273854,76.42903553,GA
92,GA-502,44.28939459,7.309022963,48.49614275,6.484751718,1.544162563,4.563728819,53.94608402,1148.825296,7.918813668,37.78300647,5.406487481,7.205925065,24.58997187,591688.8412,41289.14164,222,Suburban,3.751972059,53.76716278,GA
93,GA-503,27.57098602,10.65151442,60.99440962,6.419096454,0.963493139,6.115534474,52.71,845,5.704407952,33.28815856,4.446952816,16.88721355,19.30948139,124602,19219,212,Urban,17.01417313,110.3075082,GA
94,GA-504,56.52700496,4.84406566,46.73040948,10.30161898,3.018083559,7.913808633,47.61,850,10.58349578,34.42804684,12.92877936,11.99422793,26.52695532,201463,23024,269,Urban,13.35232772,116.8346074,GA
95,GA-505,45.10226261,7.053432359,49.17941964,8.925939329,1.838727212,6.921098846,48.30124959,859.4138879,6.572883372,32.81798796,14.3352576,10.15868897,25.4406924,254883,25056,276,Urban,10.82849778,110.1532567,GA
96,GA-506,27.363544,12.83378319,35.73309478,5.004874007,0.68933923,2.833108483,45.18,1157,5.548913095,24.56911789,7.480183038,4.71799946,26.35060136,745057,34617,384,Suburban,5.153968086,110.9281567,GA
97,GA-507,39.75976227,6.273145003,45.86735213,8.048643186,0.934804116,4.630562824,48.04,1044,8.006473551,30.22718237,10.4659815,7.661684644,26.56689276,287049,20997,1009,Urban,35.15079307,480.5448397,GA
98,HI-500,0.642849907,11.83424051,36.18690173,4.987838465,3.231182425,4.972109359,45.35178828,1285.688694,19.22401792,24.37779767,8.297562029,6.145076437,32.96355649,434316,26293,2035,Rural,46.85528509,773.9702582,HI
99,HI-501,2.376579273,9.777064066,44.24299815,4.307064334,3.000722253,4.026964128,43.18,1703,5.168877714,23.58494503,10.5115343,4.215074151,27.1589388,987638,40283,4495,Suburban,45.5126271,1115.855324,HI
100,IA-500,3.693110052,19.85494846,34.33266568,4.828806648,2.627554866,4.867437703,43.31543128,750.0198753,5.081277044,26.09894252,7.304239485,6.072352503,26.50694699,122715,7253,264,Urban,21.51326244,363.9873156,IA
101,IA-501,3.009175411,4.888439319,27.81538604,3.775371511,1.938836951,4.140420122,43.51343412,724.9706587,6.710797943,29.41578405,8.055281337,5.383381185,29.31298359,2447590.242,127056.6555,1721,Rural,7.031405707,135.4513853,IA
102,IA-502,6.403725868,8.17656481,32.6088194,4.22321929,2.35955785,4.196709237,44.33565191,883.0072774,5.993608415,28.5535501,6.612392026,5.036892888,25.34137176,489007.7576,24175.34449,764,Urban,15.62347403,316.0244522,IA
103,ID-500,1.390869226,8.034489252,31.62953876,3.844833356,2.261453944,3.411737515,46.59,950,2.435604767,30.12368067,8.773637996,4.897257298,26.65989616,446052,21416,756,Urban,16.94869656,353.0070975,ID
104,ID-501,0.42939158,13.95079714,30.39636113,5.001978233,3.282768745,5.215418492,43.16413186,780.1685716,6.465625148,25.07128717,9.417439082,5.870755301,27.59010016,1241757,71583,1256,Rural,10.11470038,175.4606541,ID
105,IL-501,11.19047619,13.86161634,32.28162803,8.74656718,3.40635523,4.931790399,44.82067985,786.6237742,5.983386692,28.86402328,8.09844024,7.153569151,29.7995762,339780,23898,256,Suburban,7.534286892,107.1219349,IL
106,IL-502,6.874303753,21.53688148,26.79397306,5.565906673,1.698779016,2.948227734,48.58384259,1166.634104,5.969125441,22.30317055,5.978050333,3.775890202,28.67278175,729563.5166,26874.40998,277,Suburban,3.796790734,103.0720303,IL
107,IL-503,13.34078148,5.843455177,46.36662263,4.789279079,2.224269385,2.922459666,50.97,862,9.863795624,36.22468151,5.45247856,13.739816,22.41845231,209448,26629,188,Urban,8.975974944,70.59972211,IL
108,IL-504,8.529002146,3.193811872,29.23854654,6.843052849,1.867557931,5.368065318,43.96,815,5.948657421,28.69112677,10.26938712,6.049039395,30.24090037,265670,15705,146,Suburban,5.495539579,92.9640242,IL
109,IL-506,9.958608614,16.768035,19.37171639,5.103514413,1.781116072,3.249362517,40.16934775,1180.178574,5.570702626,20.27901678,6.086359446,2.970044497,26.30501568,807364.871,23666.3726,341,Suburban,4.223617007,144.0862973,IL
110,IL-507,9.116545663,3.423258184,28.34134278,6.171318035,2.45446086,4.799296358,44.91002807,748.173048,9.043260896,30.58993741,8.213553726,5.945951628,29.40389759,392550,22625,400,Suburban,10.18978474,176.7955801,IL
111,IL-508,29.25891059,3.916918571,34.50848909,7.009368058,2.629554568,5.935714531,46.94010093,843.9712472,7.676499224,31.44063774,12.43056895,7.477330035,29.25078181,271262.5507,19970.44373,250,Suburban,9.216163432,125.1850001,IL
112,IL-509,7.709213052,10.96161228,43.03371085,7.445118938,2.400339496,3.636315413,43.53,914,3.921682547,27.36387025,6.336854489,10.14919652,23.38675624,104200,10061,100,Suburban,9.596928983,99.39369844,IL
113,IL-510,23.53623509,25.14743848,43.0949756,7.769472777,2.767498973,5.283836676,50.68436299,1091.197661,6.014566714,32.58625425,4.054995049,6.91079366,26.4463396,2714352.183,184506.0099,5450,Urban,20.07845568,295.3833321,IL
114,IL-511,23.51127552,25.1296689,43.0346949,7.763442568,2.765469009,5.279707887,50.65536469,1091.274769,6.016311423,32.55622965,4.060706009,6.900539591,26.44506832,2497530.575,169516.4176,873,Suburban,3.495452703,51.4994366,IL
115,IL-512,8.781810715,5.578549543,30.56020945,5.153331358,2.011947618,4.91044171,43.97003783,770.5157409,8.444641478,29.04355556,7.955905328,7.422546821,28.74986516,528399,37461,387,Rural,7.324010833,103.3074397,IL
116,IL-513,12.77945573,2.250823379,31.08975508,6.293445025,2.112095242,5.126642043,46.27,799,5.169744753,32.8121825,8.4468344,6.645649758,30.78452502,197661,12859,271,Urban,13.71034246,210.7473365,IL
117,IL-514,5.004472507,14.28013918,26.54620888,4.567652445,1.428712169,2.825804606,45.13697868,1275.603482,4.839868121,24.80998173,4.754904605,3.309611458,29.6590046,918678.877,29976.58516,295,Suburban,3.211132937,98.41014194,IL
118,IL-515,1.885494324,1.932198538,24.75670884,5.059136468,2.134844787,5.194164758,43.43440519,638.3006647,7.414903404,28.62065306,9.004899692,6.151585025,31.34304748,398251,23397,92,Rural,2.310100916,39.32128051,IL
119,IL-516,14.35612889,2.221345952,30.4604085,8.174460087,2.7882937,7.063677374,46.46,676,7.329023477,34.60884547,8.73964819,7.429387311,31.23873366,106512,7649,161,Urban,15.11566772,210.4850307,IL
120,IL-517,6.037558456,29.8973891,26.88314053,5.486099837,1.677221761,3.66082936,44.43796659,1143.979975,3.860346014,21.95725647,5.35904658,4.06399018,27.06847746,592363.9742,23777.75505,430,Suburban,7.259050495,180.8412943,IL
121,IL-518,4.810886464,8.502252684,27.50796577,5.958819152,2.086493985,4.859212659,43.03333187,696.4953038,7.08958007,30.46466685,8.920588443,5.602572514,32.34850912,652333,35351,198,Rural,3.035259599,56.00973098,IL
122,IL-519,4.459770323,3.450130385,27.0579277,5.815480815,2.178681426,5.313164146,43.86818048,636.9009794,10.89536138,31.16412279,8.790613616,6.433770574,30.65075226,221267,13400,67,Rural,3.028015926,50,IL
123,IL-520,5.913588067,2.601691009,27.15310533,6.590644586,3.376211794,5.763294687,44.82772232,654.2689974,8.598802342,30.5847249,9.230875505,6.961116927,31.07607524,572622.4493,37805.55627,282,Rural,4.924710869,74.5922102,IL
124,IN-502,6.284104964,6.218391566,28.52601057,5.12646107,1.680531494,5.011568644,43.23657865,801.0114458,7.042247344,27.05941317,7.846720363,6.012059724,28.88919766,5692903,331299,3576,Rural,6.281505236,107.9387502,IN
125,IN-503,27.70964815,10.19138761,46.02677809,7.052129386,1.754314655,5.683502559,48.04,862,8.129826537,36.70620243,6.885116162,9.019010601,25.27900326,944523,83441,1682,Urban,17.80793056,201.5795592,IN
126,KS-502,8.961379828,14.35894732,36.37009077,5.222423035,2.263266234,5.280954546,45.54,803,8.108142755,30.63709591,8.590600819,6.372629533,26.6068304,512064,32203,573,Urban,11.1900075,177.9337329,KS
127,KS-503,8.275560342,12.1917839,35.19863366,4.516705701,2.103669967,5.277920491,44.36,800,12.69068155,32.6811725,9.754906314,5.091265043,29.9370667,178284,8842,408,Urban,22.88483543,461.4340647,KS
128,KS-505,4.672913158,7.524483264,30.87622988,3.113352402,0.688643134,2.224167042,45.22,1065,4.39669911,25.94964684,6.518979278,2.578605832,27.30767786,585502,14953,168,Suburban,2.869332641,112.3520364,KS
129,KS-507,3.04927001,10.52437693,32.70251416,4.23983259,1.680899097,4.28059622,43.1431256,740.9006109,8.465927161,28.96790342,8.945356091,5.921549462,27.85797991,1468581,83117,918,Rural,6.250932022,110.4467197,KS
130,KY-500,4.279590832,2.85521698,30.50946953,6.310257477,1.951135157,8.530216191,45.80774017,695.8088946,5.685168266,26.97616313,8.216520032,7.99830197,29.97001475,3354316,259634,2077,Rural,6.192022457,79.99722687,KY
131,KY-501,21.46700662,5.22932814,38.34099214,5.850961229,2.2457608,5.978383465,47.7,834,7.16336137,33.42700069,7.899371111,6.508009263,29.00538875,767154,48843,926,Urban,12.07058817,189.5870442,KY
132,KY-502,14.39319307,7.170242271,45.52117137,5.439944492,1.233638185,4.559570206,49.47,864,5.106812286,31.36034036,6.244582462,8.524836847,25.00705918,318734,26060,685,Urban,21.49127486,262.8549501,KY
133,LA-500,27.46173539,3.924668738,31.78419024,7.08347309,1.134103159,6.983318614,47.88941103,741.1053941,9.216236331,28.97534522,5.959258627,8.871973349,27.55735891,657788,57204,363,Rural,5.518495321,63.4571009,LA
134,LA-502,39.70919884,3.581239657,37.45118257,6.779287413,3.440059409,9.223889687,49.22916363,798.1878619,9.028352979,31.40236247,9.662649261,9.535763926,28.32414158,479778,44594,375,Urban,7.816114953,84.09203032,LA
135,LA-503,42.35539695,10.1733685,45.22359266,6.974632473,1.364687813,6.92686673,51.7410902,966.6679645,8.131227791,37.73530568,5.659699965,9.322501882,29.10959236,824948,75293,1188,Urban,14.40090769,157.7835921,LA
136,LA-505,37.76570893,2.240633822,37.65816867,7.060163089,1.833354111,8.311257246,51.0419169,664.8625293,8.192985382,30.43617154,6.914954943,12.49292041,27.34462381,353159,41469,187,Rural,5.295065395,45.09392558,LA
137,LA-506,16.67867086,4.388340236,23.89475543,6.639560975,1.017803206,7.355572628,45.64967622,914.0240644,8.841798246,24.86531882,8.276303992,6.17141488,28.96588501,577576,35030,194,Suburban,3.358865327,55.38110191,LA
138,LA-507,27.09018811,3.895916628,36.85130288,7.033395922,1.946091348,8.05427463,47.44838697,765.3857639,9.30774351,28.48594642,9.801666763,8.178889122,27.32975028,305140,23354,177,Rural,5.800616111,75.79001456,LA
139,LA-509,34.08249079,4.135399418,34.08556963,6.803617316,1.754810572,6.19122008,47.84315995,856.8962668,8.55294527,29.43378145,6.794513874,8.29661223,27.00440232,1114185,89753,575,Suburban,5.16072286,64.06471093,LA
140,MA-503,3.220516803,3.031341903,20.96550138,4.508125109,1.695710905,4.463455993,46.28349573,1311.455102,7.794748013,32.17731196,9.502797841,3.288448978,40.33473218,242104,7854,358,Suburban,14.78703367,455.8186911,MA
141,MA-504,8.775228302,24.61629959,39.15539842,6.828519568,4.559798484,11.78041029,47.04,885,4.140845836,29.86880247,7.209167551,7.400033001,29.50613494,469116,33635,3368,Suburban,71.79460944,1001.337892,MA
142,MA-506,4.963880916,11.15581067,35.01955782,5.534310242,2.856873222,6.490852408,45.53,1027,4.530905656,27.43691709,6.881386726,4.851319763,30.23167291,822280,38540,1852,Suburban,22.52274165,480.539699,MA
143,MA-507,2.588322362,4.865311528,32.29120422,5.797027817,2.60127636,6.252774695,46.12134633,964.5130654,5.10542047,32.26761931,7.476697781,5.70589737,33.26145868,359422,18774,651,Suburban,18.11241382,346.7561521,MA
144,MA-511,8.81696068,3.926787484,25.63978737,5.318681648,2.17845224,4.854342311,45.57583191,1293.535268,3.482049631,24.99459136,7.028887205,3.495035692,32.17483854,662600.1044,22635.21984,1090,Suburban,16.45034452,481.5504368,MA
145,MA-516,7.738159821,8.559785518,36.87438448,4.982232854,2.087244929,4.63071092,48.10371267,1500.696166,3.413942268,27.74315303,5.003697384,4.196414559,28.86228418,1086838.929,44177.55319,2296,Suburban,21.12548547,519.720952,MA
146,MD-500,8.406852189,1.751948539,31.37909976,8.522456753,3.128929123,6.243488882,44.8,694,7.942201271,31.86406581,9.118643496,7.596809869,30.56809814,71977,4877,79,Suburban,10.97572836,161.9848267,MD
147,MD-501,62.45615748,5.124938995,52.65102585,9.108558064,5.082286232,9.513664044,51.3,1051,8.037042923,38.93036286,6.022941009,11.00141568,26.75467708,614700,65122,2508,Urban,40.80039043,385.123307,MD
148,MD-502,13.57633702,4.409520964,21.52841798,4.834072917,1.738738932,4.652359411,41.5,1213,4.529963079,22.85444761,10.15131231,3.942933134,31.28094811,251025,9814,190,Suburban,7.568967234,193.6009782,MD
149,MD-503,16.4746625,7.511062259,25.65474786,4.643455376,1.782763886,3.110804965,41.12,1612,5.619538269,24.20194702,11.84095448,3.056158802,29.0616809,567696,16831,366,Suburban,6.447112539,217.455885,MD
150,MD-504,18.66506833,6.72317943,26.8381637,3.834887121,1.175574952,2.765433847,40.38,1690,5.38307384,21.2550679,7.453071528,2.638820089,28.82912025,315327,8257,168,Suburban,5.327802567,203.4637277,MD
151,MD-505,28.37142426,5.254070382,34.28173326,5.213292652,2.289454257,4.641865311,45,1263,6.674470044,28.54052085,6.805381969,4.438057917,29.58477571,827625,35811,758,Suburban,9.158737351,211.6668063,MD
152,MD-506,3.361349554,3.361946491,17.83622829,3.505636212,1.478908189,3.629445823,39.92,1147,5.180102916,21.04383788,8.476083856,2.542874039,32.74674371,167522,4171,173,Suburban,10.32700183,414.7686406,MD
153,MD-507,6.700352137,4.278314816,27.22989439,5.580916745,2.24207961,4.63850528,40.66,1110,8.469231462,23.49038722,9.088949744,4.451120686,31.83179375,102517,4504,129,Suburban,12.58327887,286.4120782,MD
154,MD-508,26.88379168,4.914178814,23.65173764,4.530902152,2.192855636,3.424480897,38.58898297,1548.72145,6.738708111,21.97700862,13.16287174,3.337081382,28.99712449,360284,11812,492,Suburban,13.65589368,416.5255672,MD
155,MD-509,9.392205158,9.198219518,25.1911821,4.580634398,1.881735135,3.334609704,40.67,1395,3.226343616,22.18587605,8.537763489,3.185832714,29.33690718,248472,7759,316,Suburban,12.71773077,407.268978,MD
156,MD-510,0.776143791,1.126770153,21.98293713,3.984899329,1.9879069,6.394433861,43.8,624,20.99542334,27.76443303,8.464359482,3.536585366,35.42347495,29376,1015,15,Rural,5.10620915,147.7832512,MD
157,MD-511,13.84687235,5.341662045,27.08804939,4.54292433,2.353373512,4.242246068,46.11466067,1102.22407,4.633920297,25.97530501,9.375161202,4.81047389,34.69044631,171295,8065,141,Rural,8.231413643,174.8295102,MD
158,MD-512,10.5486246,4.776017782,34.57324932,6.525973123,3.635615065,5.780108836,44.62,905,4.677114162,27.50608621,9.2283781,5.281742571,29.81890515,149811,7449,199,Suburban,13.28340376,267.149953,MD
159,MD-513,24.57807024,4.380603211,34.85640844,7.098660502,2.532056964,5.372865331,44.49405387,989.5706039,9.888066639,27.7669444,8.667200948,7.168256979,30.92108562,179473,12095,292,Rural,16.26985675,241.4220752,MD
160,MD-600,62.95439648,17.91785937,37.97551554,6.699379694,1.906757024,3.797001124,39.88,1434,5.908715276,28.49612594,7.975076369,4.195077243,27.63357397,906202,37167,478,Suburban,5.274762139,128.608712,MD
161,MD-601,18.2476664,19.25782568,34.56365959,4.918483928,1.506103012,2.993298706,46.24,1742,4.221422476,24.84529761,5.341334937,3.201139131,28.50904644,1040133,33025,840,Suburban,8.075890295,254.3527631,MD
162,ME-500,1.341598559,1.607202211,27.80045066,4.617639172,3.248915981,6.377355442,44.3424647,844.2384536,6.456389489,29.28674669,9.949301679,4.97151096,34.76556726,1332813,64480,2516,Rural,18.87736689,390.1985112,ME
163,MI-500,2.677594106,3.986123146,22.32866368,6.195249363,2.605895691,6.207544239,43.60443174,710.8261058,5.17588245,28.04996898,9.071240148,6.499463695,33.72829143,2358602.94,148972.2033,1343,Rural,5.694048699,90.15104635,MI
164,MI-503,11.42679209,2.556912366,27.01896435,5.736556236,2.01663601,5.893035926,42.55,943,4.497830351,28.89357145,7.275607878,4.359484504,30.78666611,868704,37491,270,Suburban,3.108078241,72.01728415,MI
165,MI-504,13.67861514,4.001861145,29.20939233,4.803852023,1.509795316,3.991541316,46.87,1043,5.227195735,29.68299884,5.729418754,3.684370116,31.09990622,1250843,45687,427,Suburban,3.413697802,93.46203515,MI
166,MI-505,19.83896854,3.370374804,30.49395732,9.80904576,4.112240826,8.451417305,46.5,755,6.039150354,30.31348093,7.372034877,8.829228746,30.73546332,409361,35722,438,Suburban,10.69960255,122.6135155,MI
167,MI-506,9.671766645,10.44547066,30.94642947,4.831587951,2.550201475,5.143038673,45.78,871,3.605728945,25.88991623,6.092661638,5.477293937,26.17797058,643140,34628,723,Urban,11.24172031,208.7905741,MI
168,MI-507,10.87268181,4.814334813,36.16901244,5.981805699,2.273147293,5.092939334,46.73,794,4.176568741,30.2249803,6.6842904,7.706358903,25.91743032,261573,19491,567,Urban,21.67654919,290.9034939,MI
169,MI-508,11.34308984,7.676458969,41.65400015,7.100092279,2.511240708,5.358801661,47.53655415,856.7441642,5.255621362,33.27858127,5.923733855,9.752249293,24.92247708,291382.1952,26601.90228,419,Urban,14.37973929,157.5075329,MI
170,MI-509,11.77693798,4.645030481,39.28963697,4.73267015,1.437130019,3.399186934,48.26,1083,3.563424857,29.6362599,4.555488052,8.081636661,25.44396807,365961,27980,282,Suburban,7.705739136,100.7862759,MI
171,MI-510,18.66032431,8.378030688,28.43047503,7.507053607,2.815074764,8.2188994,46.44,760,7.021355085,30.60217679,8.194409502,7.386528208,31.36094368,192778,13771,357,Suburban,18.51871064,259.2404328,MI
172,MI-511,2.680910697,7.904624571,22.61524776,5.060014121,2.378211501,4.732876354,41.7,763,3.743374558,28.70859714,8.191523779,4.610920149,32.06023925,98474,4306,117,Rural,11.88130877,271.7138876,MI
173,MI-512,0.809549065,2.80398888,19.11581836,5.291054928,2.259765876,4.7768106,44.57543214,860.7259015,10.25522042,27.17579292,9.610200894,4.335074804,36.39473822,171577,7302,235,Rural,13.69647447,321.8296357,MI
174,MI-513,2.393180355,1.494752604,29.02003618,6.175293149,1.993378162,5.857255009,43.07779728,698.2373084,6.071542299,30.68573574,10.76996959,7.567880654,32.07281993,76133,5357,70,Rural,9.194436053,130.6701512,MI
175,MI-514,10.64972151,5.119986912,30.52423638,7.008701441,2.452524274,6.979257906,44.35,738,9.76344086,32.2816303,9.667135036,6.557138703,30.2915827,134473,8569,236,Urban,17.54999145,275.4113666,MI
176,MI-515,2.373429348,3.514385534,19.91599049,4.901934262,1.955161187,4.804399534,41.28,813,5.879597095,26.8526797,8.863111035,4.276220356,32.81117442,149699,6338,209,Suburban,13.96134911,329.7570211,MI
177,MI-516,13.7058419,5.579538034,25.45451775,7.387691346,3.547752937,7.348481385,43.67,747,5.044760993,26.59900334,9.096400097,7.058632138,30.37915431,173043,11715,159,Suburban,9.188467606,135.7234315,MI
178,MI-517,7.983613675,3.475486587,26.60950467,6.810749911,2.559323133,6.311592324,44.39,763,7.934926959,29.39250519,8.519192961,5.84748155,31.32531637,158913,8700,81,Rural,5.097128618,93.10344828,MI
179,MI-518,0.591037871,2.37051814,14.77662265,4.216939315,1.22506322,3.616184321,40.2,1011,3.716492503,22.04130374,7.550861787,2.334782214,33.9586804,188482,4367,90,Suburban,4.774991776,206.0911381,MI
180,MI-519,1.491341905,9.606893758,21.54456096,3.866002297,1.606118047,3.561295251,41.41806238,863.2883832,3.858182056,21.17024482,6.167263838,4.194711491,26.47987395,291050.4341,11776.80328,226,Suburban,7.764977252,191.9026705,MI
181,MI-523,6.619027988,5.30713206,28.09416535,5.27616149,4.199143951,4.751070061,41.49,842,4.843926288,28.67312458,8.097246167,4.933450153,32.38147588,109155,5293,122,Suburban,11.17676698,230.4931041,MI
182,MN-500,13.05000979,6.901296502,37.58610142,4.169529078,4.550365857,4.405969699,48.72,1085,3.589707529,32.89133941,5.692066974,5.0948934,26.9463317,1235478,61798,3013,Urban,24.38732215,487.5562316,MN
183,MN-501,11.76820384,7.492063609,40.70474341,4.883604438,5.184891113,5.189674222,46.55,969,3.909675696,33.00871961,5.518709513,6.267373316,26.21622071,541493,33076,1424,Urban,26.2976622,430.5236425,MN
184,MN-502,2.89353402,5.580737845,25.85984413,3.578051127,2.562702173,3.644459856,42.82625588,777.960614,5.065666915,27.79394883,8.009241666,4.518119217,29.18345802,720991.069,31437.0223,497,Rural,6.89328927,158.0938536,MN
185,MN-503,5.061926837,5.274262455,21.27088584,3.383368657,2.368809798,3.125413243,40.73960409,1136.164969,3.244202359,22.63953734,7.128288024,2.422037878,28.65750814,1277929.931,30603.9777,625,Suburban,4.890721978,204.2218192,MN
186,MN-504,0.886483721,1.438837419,20.08901252,4.991556906,3.623551229,4.699119147,42.1766388,689.0895676,4.413817167,29.02178952,10.9397716,5.658040438,36.43855765,125101,6898,90,Rural,7.194187097,130.4726008,MN
